participant_id,study_id,authenticity_score,empathy_score,engagement_score,emotion_provoking_score,narrative_complexity_score,human_likeness_score,story_id,premise_id,model_short,strategy
11,191,2,2,2,2,2,2,-2.88E+18,14,GPT-3.5,plan_write
15,191,3,4,3,4,2,3,-2.88E+18,14,GPT-3.5,plan_write
8,192,2,1,2,1,2,1,4.50E+18,3,GPT-3.5,writer_profile
10,192,1,1,1,1,1,1,4.50E+18,3,GPT-3.5,writer_profile
11,192,2,2,3,2,2,2,4.50E+18,3,GPT-3.5,writer_profile
15,192,2,2,2,2,2,2,4.50E+18,3,GPT-3.5,writer_profile
8,193,3,2,2,1,1,5,jb4iusp,15,Human-Advanced,
10,193,2,3,1,3,3,4,jb4iusp,15,Human-Advanced,
11,193,3,3,3,3,2,4,jb4iusp,15,Human-Advanced,
15,193,2,4,2,3,2,2,jb4iusp,15,Human-Advanced,
8,194,3,2,2,1,2,3,5.77E+18,19,Mixtral-8x7B,writer_profile
10,194,3,2,2,2,2,3,5.77E+18,19,Mixtral-8x7B,writer_profile
11,194,3,3,3,3,2,4,5.77E+18,19,Mixtral-8x7B,writer_profile
15,194,3,3,2,3,2,3,5.77E+18,19,Mixtral-8x7B,writer_profile
8,195,3,1,2,1,2,3,3.07E+18,11,GPT-3.5,writer_profile
10,195,3,3,3,4,3,3,3.07E+18,11,GPT-3.5,writer_profile
11,195,2,2,2,2,2,2,3.07E+18,11,GPT-3.5,writer_profile
15,195,4,4,3,3,4,4,3.07E+18,11,GPT-3.5,writer_profile
8,196,3,3,2,3,1,5,iur2wr6,9,Human-Novice,
10,196,2,3,2,3,3,4,iur2wr6,9,Human-Novice,
11,196,3,3,2,3,2,4,iur2wr6,9,Human-Novice,
15,196,4,5,4,5,4,4,iur2wr6,9,Human-Novice,
8,197,5,4,4,4,3,5,ix8e2ih,8,Human-Advanced,
10,197,2,3,3,3,3,4,ix8e2ih,8,Human-Advanced,
11,197,2,2,2,2,2,4,ix8e2ih,8,Human-Advanced,
15,197,3,2,2,2,1,2,ix8e2ih,8,Human-Advanced,
8,198,2,1,2,1,1,1,-3.21E+18,0,Mixtral-8x7B,plan_write
10,198,3,2,2,3,2,2,-3.21E+18,0,Mixtral-8x7B,plan_write
11,198,2,2,2,2,2,2,-3.21E+18,0,Mixtral-8x7B,plan_write
15,198,2,2,2,2,3,2,-3.21E+18,0,Mixtral-8x7B,plan_write
8,199,2,1,3,1,2,1,-1.75E+18,0,GPT-3.5,writer_profile
10,199,2,2,1,2,1,2,-1.75E+18,0,GPT-3.5,writer_profile
11,199,2,2,2,2,2,2,-1.75E+18,0,GPT-3.5,writer_profile
15,199,3,4,3,3,3,3,-1.75E+18,0,GPT-3.5,writer_profile
